startDate,country,iso3c,group15C,type,cumReparationsAR6,cumReparationsAR6lwr,cumReparationsAR6upr,share,cumPop,cumRepPerCap,cumRepPerCapLwr,cumRepPerCapUpr,overshoot15C
1960,United States,USA,USA,Overemitters,-80141186479242.05,-58786912510601.63,-124707329092966.6,41.813382641967266,11075987264,-7235.579508087998,-5307.600226453424,-11259.251759732486,4.410479788905465
1960,Russian Federation,RUS,Rest of global North,Overemitters,-18738944891646.906,-13745799909907.332,-29159585353317.285,9.77697869826422,4375612620,-4282.587724058376,-3141.4572320863567,-6664.114921882021,2.6507940067722977
1960,Japan,JPN,Rest of global North,Overemitters,-12601374066827.654,-9243634981269.469,-19608939820007.437,6.574722671560466,3621431035,-3479.6670004314064,-2552.4812959110977,-5414.693702708448,2.3173467933616836
1960,Germany,DEU,EU and UK,Overemitters,-11800668604174.756,-8656284031680.908,-18362965758175.26,6.156957407976668,2554752766,-4619.103954489957,-3388.305963255353,-7187.766269425095,2.8118715365803584
1960,United Kingdom,GBR,EU and UK,Overemitters,-7716195495332.323,-5660152156797.59,-12007136071429.613,4.0258979054437125,2212025720,-3488.2937506406224,-2558.8093780381496,-5428.117748752765,2.5171641242880334
1960,Canada,CAN,Rest of global North,Overemitters,-6591492109128.762,-4835135177765.817,-10256990341411.117,3.439087862916743,1302962203,-5058.851357278214,-3710.879077407756,-7872.055166139856,3.5095643489253168
1960,France,FRA,EU and UK,Overemitters,-4749820793224.154,-3484192232225.4297,-7391174136742.357,2.4782023205920023,2075064524,-2288.999083299905,-1679.076574211352,-3561.900871638803,1.9775054359514013
1960,Ukraine,UKR,Global South overshoot,Overemitters,-4325032708530.8784,-3172592403629.458,-6730163365628.6,2.256570628981984,1223162532,-3535.942767523293,-2593.761925033735,-5502.2641632294535,2.187346624199765
1960,Australia,AUS,Rest of global North,Overemitters,-4019963946099.1143,-2948811705655.404,-6255447277385.806,2.097402073385733,908797170,-4423.389595391362,-3244.741294314774,-6883.216061715735,3.3380118413001707
1960,Italy,ITA,EU and UK,Overemitters,-3674662635939.2324,-2695518751034.3374,-5718125507967.099,1.9172423272828039,1795746549,-2046.3147419024958,-1501.0574585458037,-3184.260892023632,1.7971333874868742
1960,Poland,POL,EU and UK,Overemitters,-3618147455001.702,-2654062501841.471,-5630182496669.771,1.8877557300731023,1114891035,-3245.2924468997116,-2380.5577572354155,-5049.984545502934,2.239070040280337
1960,Saudi Arabia,SAU,Global South overshoot,Overemitters,-2811969285240.5415,-2062697092670.9712,-4375692380654.193,1.4671351007721438,1257736343,-2235.7382776531103,-1640.0075454216012,-3479.0219786582034,2.4136195391727484
1960,"Korea, Rep.",KOR,Global South overshoot,Overemitters,-2690355159547.04,-1973488044473.9,-4186449202938.809,1.40368335772105,1552309548,-1733.1305879122506,-1271.323781404648,-2696.916480564487,1.7499176230237472
1960,Kazakhstan,KAZ,Global South overshoot,Overemitters,-2616295492538.7095,-1919162180879.271,-4071205298126.9478,1.3650429865087006,666176916,-3927.3283563291607,-2880.8596257022978,-6111.297465202093,2.8808906703889954
1960,"Hong Kong SAR, China",HKG,Global South overshoot,Overemitters,-2283204092332.2974,-1674825705937.7617,-3552883313034.584,1.191253718050754,247455337,-9226.732064106976,-6768.193914272949,-14357.675029795717,5.4475897818329635
1960,Netherlands,NLD,EU and UK,Overemitters,-1854068799679.3635,-1360037018463.8894,-2885107871749.6255,0.9673538859523432,538409655,-3443.602436288709,-2526.026429566701,-5358.5738014850895,2.460382635330935
1960,Spain,ESP,EU and UK,Overemitters,-1852119877419.2249,-1358607402464.5505,-2882075162847.3853,0.9663370426064598,1413335213,-1310.4604345686992,-961.2775440447124,-2039.2014126144788,1.5509366691827016
1960,Czech Republic,CZE,EU and UK,Overemitters,-1745288891344.1616,-1280242405541.9912,-2715835960221.6562,0.9105983507425413,330789185,-5276.136495648011,-3870.2668152285305,-8210.171563564438,3.076151174398355
1960,South Africa,ZAF,Global South overshoot,Overemitters,-1568005653780.1602,-1150197735202.9687,-2439966335365.4414,0.8181014440466264,2118145252,-740.2729592314853,-543.0211804959675,-1151.9353231614173,1.407867999825736
1960,Belgium,BEL,EU and UK,Overemitters,-1383028865303.8762,-1014509523456.0167,-2152124811568.598,0.7215904541769608,371497426,-3722.849119562611,-2730.865552365945,-5793.108271949636,2.5836225599700233
1960,United Arab Emirates,ARE,Global South overshoot,Overemitters,-1206083000497.6316,-884712330146.7839,-1876780170898.129,0.6292695705327723,325624147,-3703.9114316593714,-2716.9739661438066,-5763.639423516491,3.6529770577196783
1960,Switzerland,CHE,Rest of global North,Overemitters,-945341235329.6917,-693447338821.0343,-1471041117789.6304,0.49322847011141807,289260568,-3268.1303292251423,-2397.310299207579,-5085.522468412046,2.519734220693371
1960,Kuwait,KWT,Global South overshoot,Overemitters,-910060330425.9899,-667567319308.1464,-1416140665078.4238,0.4748207818614388,152488547,-5968.056934964367,-4377.819399827755,-9286.86575443875,4.893498169684788
1960,Greece,GRC,EU and UK,Overemitters,-864889828584.2811,-634432866768.9852,-1345851056377.3162,0.4512532311348687,301271179,-2870.8017522787372,-2105.8531681485047,-4467.2413101198645,2.0803039901149165
1960,Austria,AUT,EU and UK,Overemitters,-858477557940.433,-629729198032.6628,-1335872951727.934,0.4479076514421533,283963674,-3023.1949947951193,-2217.639985995754,-4704.379728964677,2.27428238491046
1960,Sweden,SWE,EU and UK,Overemitters,-846500161325.3978,-620943276612.6545,-1317234980330.6042,0.4416584868150637,334747560,-2528.7717147972576,-1854.9598288712084,-3935.009952964569,2.1152682893383496
