startDate,scenario,date,region,overshoot,grp
1850,BAU,2041,China overshoot,118613033.56789231,1.5C
1850,BAU,2042,USA,483293977.68672234,1.5C
1850,BAU,2042,EU and UK,282325739.9727161,1.5C
1850,BAU,2042,Rest of global North,212569116.68530843,1.5C
1850,BAU,2042,Rest of global South overshoot,161530425.30490854,1.5C
1850,BAU,2042,China overshoot,140283029.99325562,1.5C
1850,BAU,2043,USA,489558204.51415867,1.5C
1850,BAU,2043,EU and UK,286593443.42021847,1.5C
1850,BAU,2043,Rest of global North,216286075.51475123,1.5C
1850,BAU,2043,Rest of global South overshoot,168928586.88746363,1.5C
1850,BAU,2043,China overshoot,162452237.77304852,1.5C
1850,BAU,2044,USA,495831536.23199207,1.5C
1850,BAU,2044,EU and UK,290873143.57596326,1.5C
1850,BAU,2044,Rest of global North,219998260.81049114,1.5C
1850,BAU,2044,China overshoot,185120656.9072709,1.5C
1850,BAU,2044,Rest of global South overshoot,176411298.55146295,1.5C
1850,BAU,2045,USA,502113683.3106535,1.5C
1850,BAU,2045,EU and UK,295164807.282895,1.5C
1850,BAU,2045,Rest of global North,223705672.57279262,1.5C
1850,BAU,2045,China overshoot,208288287.39592266,1.5C
1850,BAU,2045,Rest of global South overshoot,184002753.24417236,1.5C
1850,BAU,2046,USA,508404365.4274251,1.5C
1850,BAU,2046,EU and UK,299468403.0949502,1.5C
1850,BAU,2046,China overshoot,231955129.23900414,1.5C
1850,BAU,2046,Rest of global North,227408310.80151525,1.5C
1850,BAU,2046,Rest of global South overshoot,191742722.5420661,1.5C
1850,BAU,2047,USA,514703311.1736682,1.5C
1850,BAU,2047,EU and UK,303783901.122183,1.5C
1850,BAU,2047,China overshoot,256121182.43651497,1.5C
1850,BAU,2047,Rest of global North,231106175.4967336,1.5C
1850,BAU,2047,Rest of global South overshoot,199574289.62336653,1.5C
1850,BAU,2048,USA,521010257.7713621,1.5C
1850,BAU,2048,EU and UK,308122275.77088344,1.5C
1850,BAU,2048,China overshoot,280786446.9884553,1.5C
1850,BAU,2048,Rest of global North,234799266.65840816,1.5C
1850,BAU,2048,Rest of global South overshoot,207635868.5252711,1.5C
1850,BAU,2049,USA,527324950.798655,1.5C
1850,BAU,2049,EU and UK,312481284.5097478,1.5C
1850,BAU,2049,China overshoot,305950922.8948252,1.5C
1850,BAU,2049,Rest of global North,238487584.2865598,1.5C
1850,BAU,2049,Rest of global South overshoot,216001297.8079244,1.5C
1850,BAU,2050,USA,533647143.9241441,1.5C
1850,BAU,2050,China overshoot,331614610.1556246,1.5C
1850,BAU,2050,EU and UK,316852113.9230875,1.5C
1850,BAU,2050,Rest of global North,242171128.38117746,1.5C
1850,BAU,2050,Rest of global South overshoot,224458072.28478777,1.5C
1850,Converge15C,2020,USA,348509409.33262885,1.5C
1850,Converge15C,2020,EU and UK,192640634.17141095,1.5C
1850,Converge15C,2020,Rest of global North,129588235.67208396,1.5C
1850,Converge15C,2020,Rest of global South overshoot,55438437.215402454,1.5C
1850,Converge15C,2021,USA,336892429.02154124,1.5C
1850,Converge15C,2021,EU and UK,186219279.69903058,1.5C
1850,Converge15C,2021,Rest of global North,125268627.81634784,1.5C
1850,Converge15C,2021,Rest of global South overshoot,53590489.308222376,1.5C
1850,Converge15C,2022,USA,325275448.71045357,1.5C
1850,Converge15C,2022,EU and UK,179797925.22665024,1.5C
1850,Converge15C,2022,Rest of global North,120949019.96061169,1.5C
1850,Converge15C,2022,Rest of global South overshoot,51742541.40104228,1.5C
1850,Converge15C,2023,USA,313658468.39936596,1.5C
1850,Converge15C,2023,EU and UK,173376570.75426984,1.5C
1850,Converge15C,2023,Rest of global North,116629412.10487556,1.5C
1850,Converge15C,2023,Rest of global South overshoot,49894593.493862204,1.5C
1850,Converge15C,2024,USA,302041488.08827835,1.5C
1850,Converge15C,2024,EU and UK,166955216.28188947,1.5C
1850,Converge15C,2024,Rest of global North,112309804.24913941,1.5C
1850,Converge15C,2024,Rest of global South overshoot,48046645.586682126,1.5C
1850,Converge15C,2025,USA,290424507.7771907,1.5C
1850,Converge15C,2025,EU and UK,160533861.80950913,1.5C
1850,Converge15C,2025,Rest of global North,107990196.3934033,1.5C
1850,Converge15C,2025,Rest of global South overshoot,46198697.67950205,1.5C
1850,Converge15C,2026,USA,278807527.4661031,1.5C
1850,Converge15C,2026,EU and UK,154112507.33712876,1.5C
1850,Converge15C,2026,Rest of global North,103670588.53766717,1.5C
1850,Converge15C,2026,Rest of global South overshoot,44350749.77232196,1.5C
1850,Converge15C,2027,USA,267190547.1550154,1.5C
1850,Converge15C,2027,EU and UK,147691152.8647484,1.5C
1850,Converge15C,2027,Rest of global North,99350980.68193103,1.5C
1850,Converge15C,2027,Rest of global South overshoot,42502801.865141876,1.5C
1850,Converge15C,2028,USA,255573566.8439278,1.5C
1850,Converge15C,2028,EU and UK,141269798.39236802,1.5C
1850,Converge15C,2028,Rest of global North,95031372.82619491,1.5C
1850,Converge15C,2028,Rest of global South overshoot,40654853.9579618,1.5C
1850,Converge15C,2029,USA,243956586.5328402,1.5C
1850,Converge15C,2029,EU and UK,134848443.91998768,1.5C
1850,Converge15C,2029,Rest of global North,90711764.97045876,1.5C
1850,Converge15C,2029,Rest of global South overshoot,38806906.05078172,1.5C
1850,Converge15C,2030,USA,232339606.22175258,1.5C
1850,Converge15C,2030,EU and UK,128427089.4476073,1.5C
1850,Converge15C,2030,Rest of global North,86392157.11472264,1.5C
1850,Converge15C,2030,Rest of global South overshoot,36958958.14360163,1.5C
1850,Converge15C,2031,USA,220722625.91066492,1.5C
1850,Converge15C,2031,EU and UK,122005734.97522692,1.5C
1850,Converge15C,2031,Rest of global North,82072549.25898649,1.5C
1850,Converge15C,2031,Rest of global South overshoot,35111010.23642155,1.5C
1850,Converge15C,2032,USA,209105645.5995773,1.5C
1850,Converge15C,2032,EU and UK,115584380.50284657,1.5C
1850,Converge15C,2032,Rest of global North,77752941.40325038,1.5C
1850,Converge15C,2032,Rest of global South overshoot,33263062.329241473,1.5C
1850,Converge15C,2033,USA,197488665.28848964,1.5C
1850,Converge15C,2033,EU and UK,109163026.0304662,1.5C
1850,Converge15C,2033,Rest of global North,73433333.54751424,1.5C
1850,Converge15C,2033,Rest of global South overshoot,31415114.422061387,1.5C
1850,Converge15C,2034,USA,185871684.97740203,1.5C
1850,Converge15C,2034,EU and UK,102741671.55808584,1.5C
1850,Converge15C,2034,Rest of global North,69113725.69177811,1.5C
1850,Converge15C,2034,Rest of global South overshoot,29567166.514881305,1.5C
1850,Converge15C,2035,USA,174254704.66631442,1.5C
1850,Converge15C,2035,EU and UK,96320317.08570547,1.5C
1850,Converge15C,2035,Rest of global North,64794117.83604198,1.5C
1850,Converge15C,2035,Rest of global South overshoot,27719218.607701227,1.5C
1850,Converge15C,2036,USA,162637724.3552268,1.5C
1850,Converge15C,2036,EU and UK,89898962.6133251,1.5C
1850,Converge15C,2036,Rest of global North,60474509.980305836,1.5C
1850,Converge15C,2036,Rest of global South overshoot,25871270.700521145,1.5C
1850,Converge15C,2037,USA,151020744.04413915,1.5C
1850,Converge15C,2037,EU and UK,83477608.14094475,1.5C
1850,Converge15C,2037,Rest of global North,56154902.12456972,1.5C
1850,Converge15C,2037,Rest of global South overshoot,24023322.79334106,1.5C
1850,Converge15C,2038,USA,139403763.73305154,1.5C
1850,Converge15C,2038,EU and UK,77056253.66856438,1.5C
1850,Converge15C,2038,Rest of global North,51835294.26883357,1.5C
1850,Converge15C,2038,Rest of global South overshoot,22175374.88616098,1.5C
1850,Converge15C,2039,USA,127786783.42196392,1.5C
1850,Converge15C,2039,EU and UK,70634899.19618401,1.5C
1850,Converge15C,2039,Rest of global North,47515686.41309745,1.5C
1850,Converge15C,2039,Rest of global South overshoot,20327426.978980895,1.5C
1850,Converge15C,2040,USA,116169803.11087628,1.5C
1850,Converge15C,2040,EU and UK,64213544.72380365,1.5C
1850,Converge15C,2040,Rest of global North,43196078.55736133,1.5C
1850,Converge15C,2040,Rest of global South overshoot,18479479.071800817,1.5C
1850,Converge15C,2041,USA,104552822.79978867,1.5C
1850,Converge15C,2041,EU and UK,57792190.25142328,1.5C
1850,Converge15C,2041,Rest of global North,38876470.70162518,1.5C
1850,Converge15C,2041,Rest of global South overshoot,16631531.164620735,1.5C
1850,Converge15C,2042,USA,92935842.48870103,1.5C
1850,Converge15C,2042,EU and UK,51370835.779042915,1.5C
1850,Converge15C,2042,Rest of global North,34556862.84588904,1.5C
1850,Converge15C,2042,Rest of global South overshoot,14783583.257440653,1.5C
1850,Converge15C,2043,USA,81318862.17761339,1.5C
1850,Converge15C,2043,EU and UK,44949481.30666255,1.5C
1850,Converge15C,2043,Rest of global North,30237254.99015293,1.5C
1850,Converge15C,2043,Rest of global South overshoot,12935635.350260569,1.5C
1850,Converge15C,2044,USA,69701881.86652578,1.5C
1850,Converge15C,2044,EU and UK,38528126.83428218,1.5C
1850,Converge15C,2044,Rest of global North,25917647.1344168,1.5C
1850,Converge15C,2044,Rest of global South overshoot,11087687.443080487,1.5C
1850,Converge15C,2045,USA,58084901.555438116,1.5C
1850,Converge15C,2045,EU and UK,32106772.361901816,1.5C
1850,Converge15C,2045,Rest of global North,21598039.278680656,1.5C
1850,Converge15C,2045,Rest of global South overshoot,9239739.535900407,1.5C
1850,Converge15C,2046,USA,46467921.24435051,1.5C
1850,Converge15C,2046,EU and UK,25685417.88952146,1.5C
1850,Converge15C,2046,Rest of global North,17278431.422944527,1.5C
1850,Converge15C,2046,Rest of global South overshoot,7391791.628720326,1.5C
1850,Converge15C,2047,USA,34850940.9332629,1.5C
1850,Converge15C,2047,EU and UK,19264063.41714109,1.5C
1850,Converge15C,2047,Rest of global North,12958823.567208396,1.5C
1850,Converge15C,2047,Rest of global South overshoot,5543843.721540242,1.5C
1850,Converge15C,2048,USA,23233960.62217523,1.5C
1850,Converge15C,2048,EU and UK,12842708.944760725,1.5C
1850,Converge15C,2048,Rest of global North,8639215.711472262,1.5C
1850,Converge15C,2048,Rest of global South overshoot,3695895.814360159,1.5C
1850,Converge15C,2049,USA,11616980.311087623,1.5C
1850,Converge15C,2049,EU and UK,6421354.472380359,1.5C
1850,Converge15C,2049,Rest of global North,4319607.855736135,1.5C
1850,Converge15C,2049,Rest of global South overshoot,1847947.9071800783,1.5C
1850,Converge15C,2050,USA,1.4901161193847656e-8,1.5C
1850,Converge15C,2050,Rest of global South overshoot,3.4924596548080444e-10,1.5C
1850,Historical,1930,EU and UK,367444.88810165226,1.5C
1850,Historical,1931,EU and UK,792444.8881016523,1.5C
1850,Historical,1932,EU and UK,1200444.8881016523,1.5C
1850,Historical,1933,EU and UK,1605444.8881016523,1.5C
1850,Historical,1934,EU and UK,2042444.8881016523,1.5C
1850,Historical,1935,EU and UK,2485444.8881016523,1.5C
1850,Historical,1936,EU and UK,2953444.8881016523,1.5C
1850,Historical,1937,EU and UK,3436444.8881016523,1.5C
1850,Historical,1938,EU and UK,3899444.8881016523,1.5C
1850,Historical,1939,EU and UK,4370444.888101652,1.5C
1850,Historical,1940,EU and UK,4864444.888101652,1.5C
1850,Historical,1941,EU and UK,5348444.888101652,1.5C
1850,Historical,1942,EU and UK,5832444.888101652,1.5C
1850,Historical,1943,EU and UK,6301444.888101652,1.5C
1850,Historical,1944,EU and UK,6758444.888101652,1.5C
1850,Historical,1945,EU and UK,7191444.888101652,1.5C
1850,Historical,1946,EU and UK,7644444.888101652,1.5C
1850,Historical,1947,EU and UK,8189470.265333623,1.5C
1850,Historical,1948,EU and UK,8777370.265333623,1.5C
1850,Historical,1949,EU and UK,9371470.265333623,1.5C
1850,Historical,1950,EU and UK,9977370.265333623,1.5C
1850,Historical,1951,EU and UK,10645570.265333623,1.5C
1850,Historical,1952,EU and UK,11290970.265333623,1.5C
1850,Historical,1952,USA,1992545.5273012668,1.5C
1850,Historical,1953,EU and UK,11947970.265333623,1.5C
1850,Historical,1953,USA,4672545.527301267,1.5C
1850,Historical,1954,EU and UK,12622470.265333623,1.5C
1850,Historical,1954,USA,7222545.527301267,1.5C
1850,Historical,1955,EU and UK,13330470.265333623,1.5C
1850,Historical,1955,USA,10022545.527301267,1.5C
1850,Historical,1956,EU and UK,14041470.265333623,1.5C
1850,Historical,1956,USA,12962545.527301267,1.5C
1850,Historical,1957,USA,15882545.527301267,1.5C
1850,Historical,1957,EU and UK,14980287.83457724,1.5C
1850,Historical,1958,USA,18722545.527301267,1.5C
1850,Historical,1958,EU and UK,16468987.83457724,1.5C
1850,Historical,1959,USA,21652545.527301267,1.5C
