country,iso3c,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,3290.058195,3163.130816,1511.757133,-2182.997283,-344.111615,2082.720975,1865.385557,2046.749917,1855.584113,1709.618024,1920.42651,2043.757538,2290.713467,2864.761925,2701.402285,3182.171812,3691.510621,4416.697132,5721.280399,8251.992046,10413.68959,14600.24382,13254.36479,12440.82046,13175.58759,13858.25895,16698.42452,17049.51208,17607.11052,19540.49733,20674.56313,21351.04999
Albania,ALB,4373.137808,6027.278765,3811.067844,-764.3560368,1610.363767,4103.98872,3946.416845,4090.417252,4820.871042,5095.712089,3918.090893,4511.84932,4778.085379,5320.734761,5817.581672,5850.244724,5925.753971,6530.738683,6728.45689,6806.996278,7084.345655,7896.092518,7407.933462,7568.540147,8162.444368,7641.797321,6601.604686,6646.724264,8034.176358,8150.165383,8421.531727,8209.598543
Algeria,DZA,64534.87952,55666.68168,57598.29094,59265.99949,60118.64232,62702.39755,58829.24808,53626.85526,66757.22262,55641.86299,46103.87709,46213.01041,49464.37401,49270.8823,47860.25771,52080.68316,46640.45646,50902.59338,54503.27036,70450.92168,68077.79279,68165.68413,72685.45044,77539.11704,82257.18862,90391.8226,141829.2793,140334.0067,145639.9345,145729.8733,153940.4277,150940.0008
Andorra,AND,739.5976377,749.6219653,36.87153773,-3157.785271,-1462.03239,721.3458536,569.5731416,782.9007296,766.6721527,798.160866,800.1232733,831.1432768,850.361838,896.3671135,968.710994,1005.238796,1016.597505,1039.290417,1023.634256,930.7704505,938.3614556,919.1972798,886.6915434,865.2500747,824.2551897,831.2291115,249.606473,193.1624155,642.884638,637.3330822,646.4746848,643.897638
Angola,AGO,5255.924179,5906.62896,5783.084775,1805.613466,2298.932632,7049.570109,6661.663129,6364.719786,5732.406383,5928.528137,6897.544487,7737.471525,9266.329954,8057.671951,13605.06449,14106.18836,14904.1848,19246.20135,21585.30664,26844.47776,23928.52673,24076.00869,26117.28382,27272.59201,28224.78799,29330.6569,35507.94756,36152.71332,31828.62705,30903.68173,31535.50328,31873.36072
Antigua,ATG,725.50861,724.6055709,68.46743628,-3039.091875,-1461.309046,691.778221,536.5182254,629.4307226,651.4246056,679.626209,649.7202865,681.6363804,694.1007557,741.6466364,766.4586374,798.9578712,856.7317174,907.7419487,901.4741364,862.3314295,860.4334387,829.9894269,813.6417781,823.3989523,823.4726754,818.2786502,412.3848975,424.0764202,737.335343,734.9009026,783.1027606,757.7260303
Argentina,ARG,110535.4095,125042.3102,130902.4389,116231.0701,131871.6846,134759.3734,144357.9113,151568.1816,155700.0284,155979.6938,158895.7919,147118.6888,119592.7716,129987.1098,143952.1548,151670.8,162198.4256,176224.1148,182259.512,176024.4414,186821.9462,198149.8689,202400.7514,210396.616,207033.4628,212786.6739,210880.3075,207079.2045,197537.8766,196747.5218,201591.8883,197797.9996
Armenia,ARM,27761.74295,21339.04953,22923.99911,5391.00145,7364.124105,11036.2295,7549.21462,7732.86395,6404.350019,4725.191413,3537.520487,3594.789655,3247.416384,3594.597557,3884.170103,4491.729886,4829.046439,5856.095013,6697.183249,5660.296213,5673.52015,6346.967839,7098.607845,6949.14623,6919.610691,7431.736023,6932.511928,6826.523438,8650.975208,9018.152345,9521.418982,9747.339733
Aruba,ABW,1963.038558,1910.231388,1038.151307,-1634.180844,-177.5032194,1657.247238,1565.710691,1799.621636,1749.344581,1762.831611,2118.059278,2140.73208,2211.313393,2312.682052,2238.536991,2305.941558,2381.12257,2476.506072,2355.98937,2430.494504,2360.975778,2398.987618,1652.288095,1315.992393,1286.516168,1281.134366,576.5077933,528.9320122,1091.774962,1111.013522,1311.290823,1246.630309
Australia,AUS,281203.1675,280150.0429,269093.5446,235389.5503,265186.0683,298604.4802,303869.8126,297179.1465,327714.1747,335720.1105,338190.9636,335902.35,345340.3159,369425.7656,399825.8851,393809.5656,401556.5302,425724.2723,402387.8298,412812.0388,423599.9048,433779.1672,440411.3407,428540.4188,424468.7139,432035.7435,408467.8037,418934.8613,401677.3679,398111.7414,417377.8258,401818.1339
Austria,AUT,84356.63957,89022.56126,84431.59752,68447.07028,77391.37626,91603.04259,94142.11647,93200.89311,92579.97584,90775.62155,90766.03306,92876.58938,93583.34939,101534.824,104333.3542,105503.9885,106059.6803,105487.458,105154.6116,96894.30967,101422.2943,100700.9268,98383.04815,97889.65648,93660.72688,95019.91937,22334.33627,24436.7916,97331.79173,95304.4294,101224.6818,98161.33575
Azerbaijan,AZE,56341.77625,51051.18107,40733.84314,31882.39056,29088.34656,34367.11677,28734.63887,26443.84985,25905.82808,24934.94637,24449.55046,24213.24447,24628.8663,27356.6135,28565.80432,29324.18508,30758.64068,24463.00716,29172.75499,28244.583,27766.46592,29105.88742,30530.31473,34695.09906,35944.89753,38929.05954,43998.02394,41584.48639,44426.16007,45262.03042,46499.63383,47179.89145
